W0923 06:42:33.309000 1925 torch/distributed/run.py:874] 
W0923 06:42:33.309000 1925 torch/distributed/run.py:874] *****************************************
W0923 06:42:33.309000 1925 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 06:42:33.309000 1925 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:  28%|██▊       | 87/311 [00:00<00:00, 859.07it/s]Loading weights:  57%|█████▋    | 176/311 [00:00<00:00, 1738.19it/s]Loading weights:  59%|█████▉    | 185/311 [00:00<00:00, 922.00it/s]Loading weights:  89%|████████▉ | 278/311 [00:00<00:00, 917.75it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 942.59it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 1308.63it/s]
06:43:07 mode=isolated world=2 trainable=17.43M
06:43:11 train records/epoch=48320 steps=3020
06:43:26 step 20/3020 loss=2.6096 acc=0.500 records/s=20.5
06:43:37 step 40/3020 loss=1.4650 acc=0.750 records/s=24.2
06:43:48 step 60/3020 loss=1.7347 acc=0.375 records/s=25.9
06:44:00 step 80/3020 loss=1.9943 acc=0.125 records/s=26.2
06:44:10 step 100/3020 loss=1.6897 acc=0.625 records/s=26.9
06:44:21 step 120/3020 loss=0.9344 acc=0.625 records/s=27.4
06:44:31 step 140/3020 loss=1.5840 acc=0.625 records/s=28.1
06:44:40 step 160/3020 loss=1.2428 acc=0.750 records/s=28.6
06:44:50 step 180/3020 loss=1.0201 acc=0.750 records/s=29.0
06:45:01 step 200/3020 loss=1.8305 acc=0.375 records/s=29.1
06:45:10 step 220/3020 loss=1.0615 acc=0.875 records/s=29.4
06:45:20 step 240/3020 loss=2.1133 acc=0.625 records/s=29.7
06:45:29 step 260/3020 loss=1.1634 acc=0.625 records/s=30.0
06:45:39 step 280/3020 loss=1.3276 acc=0.625 records/s=30.2
06:45:48 step 300/3020 loss=1.0348 acc=0.500 records/s=30.4
06:45:58 step 320/3020 loss=0.9811 acc=0.750 records/s=30.6
06:46:07 step 340/3020 loss=0.7651 acc=0.875 records/s=30.9
06:46:16 step 360/3020 loss=1.4503 acc=0.500 records/s=31.1
06:46:25 step 380/3020 loss=1.1091 acc=0.625 records/s=31.2
06:46:34 step 400/3020 loss=1.9437 acc=0.625 records/s=31.4
06:46:44 step 420/3020 loss=2.8858 acc=0.250 records/s=31.6
06:46:53 step 440/3020 loss=3.0311 acc=0.250 records/s=31.7
06:47:01 step 460/3020 loss=0.7815 acc=0.875 records/s=31.9
06:47:11 step 480/3020 loss=1.3522 acc=0.500 records/s=32.0
06:47:20 step 500/3020 loss=1.2727 acc=0.500 records/s=32.1
06:47:29 step 520/3020 loss=1.0868 acc=0.625 records/s=32.2
06:47:38 step 540/3020 loss=0.9907 acc=0.625 records/s=32.3
06:47:47 step 560/3020 loss=1.5607 acc=0.625 records/s=32.4
06:47:56 step 580/3020 loss=0.5619 acc=0.750 records/s=32.6
06:48:05 step 600/3020 loss=0.6653 acc=0.875 records/s=32.6
06:48:14 step 620/3020 loss=3.1278 acc=0.125 records/s=32.7
06:48:23 step 640/3020 loss=0.9739 acc=0.625 records/s=32.8
06:48:33 step 660/3020 loss=0.5919 acc=0.750 records/s=32.8
06:48:41 step 680/3020 loss=1.7153 acc=0.500 records/s=32.9
06:48:50 step 700/3020 loss=1.4853 acc=0.625 records/s=33.0
06:48:59 step 720/3020 loss=1.4118 acc=0.625 records/s=33.0
06:49:08 step 740/3020 loss=0.4866 acc=0.750 records/s=33.1
06:49:17 step 760/3020 loss=1.6372 acc=0.375 records/s=33.2
06:49:26 step 780/3020 loss=0.4805 acc=0.875 records/s=33.2
06:49:35 step 800/3020 loss=0.8822 acc=0.625 records/s=33.3
06:49:44 step 820/3020 loss=0.7268 acc=0.750 records/s=33.4
06:49:53 step 840/3020 loss=1.0553 acc=0.500 records/s=33.4
06:50:02 step 860/3020 loss=1.1574 acc=0.500 records/s=33.5
06:50:11 step 880/3020 loss=1.2838 acc=0.625 records/s=33.5
06:50:20 step 900/3020 loss=1.7303 acc=0.625 records/s=33.6
06:50:28 step 920/3020 loss=1.4752 acc=0.500 records/s=33.6
06:50:37 step 940/3020 loss=0.9141 acc=0.750 records/s=33.7
06:50:46 step 960/3020 loss=0.7843 acc=0.750 records/s=33.7
