W0923 06:42:33.297000 1926 torch/distributed/run.py:874] 
W0923 06:42:33.297000 1926 torch/distributed/run.py:874] *****************************************
W0923 06:42:33.297000 1926 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 06:42:33.297000 1926 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:  31%|███       | 96/311 [00:00<00:00, 940.70it/s]Loading weights:  52%|█████▏    | 161/311 [00:00<00:00, 1590.20it/s]Loading weights:  61%|██████▏   | 191/311 [00:00<00:00, 933.36it/s]Loading weights:  92%|█████████▏| 285/311 [00:00<00:00, 927.40it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 957.47it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 1228.59it/s]
06:43:07 mode=listwise world=2 trainable=17.70M
06:43:10 train records/epoch=48320 steps=3020
06:43:27 step 20/3020 loss=2.6416 acc=0.250 records/s=19.6
06:43:38 step 40/3020 loss=1.3867 acc=0.750 records/s=23.6
06:43:48 step 60/3020 loss=1.7705 acc=0.375 records/s=25.5
06:44:00 step 80/3020 loss=2.3774 acc=0.125 records/s=26.0
06:44:10 step 100/3020 loss=1.8423 acc=0.375 records/s=26.8
06:44:21 step 120/3020 loss=0.7773 acc=0.625 records/s=27.3
06:44:30 step 140/3020 loss=1.5586 acc=0.375 records/s=28.0
06:44:40 step 160/3020 loss=1.1704 acc=0.750 records/s=28.5
06:44:50 step 180/3020 loss=1.3856 acc=0.625 records/s=28.9
06:45:00 step 200/3020 loss=1.5335 acc=0.375 records/s=29.1
06:45:10 step 220/3020 loss=1.1869 acc=0.750 records/s=29.5
06:45:19 step 240/3020 loss=2.4068 acc=0.500 records/s=29.8
06:45:28 step 260/3020 loss=1.0300 acc=0.625 records/s=30.2
06:45:38 step 280/3020 loss=1.3820 acc=0.625 records/s=30.4
06:45:48 step 300/3020 loss=1.1537 acc=0.625 records/s=30.5
06:45:57 step 320/3020 loss=0.9635 acc=0.750 records/s=30.8
06:46:06 step 340/3020 loss=1.0264 acc=0.875 records/s=31.1
06:46:15 step 360/3020 loss=1.6385 acc=0.500 records/s=31.3
