W0923 09:14:10.771000 10042 torch/distributed/run.py:874] 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8864.50it/s]

Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8719.85it/s]
09:14:32 mode=listwise world=2 trainable=17.70M
09:14:37 train records/epoch=48320 steps=3020
09:15:01 step 20/3020 loss=3.1482 acc=0.250 records/s=13.0
09:15:22 step 40/3020 loss=2.9584 acc=0.000 records/s=14.1
09:15:43 step 60/3020 loss=2.5250 acc=0.375 records/s=14.6
09:16:03 step 80/3020 loss=2.7936 acc=0.125 records/s=14.9
09:16:23 step 100/3020 loss=2.1963 acc=0.375 records/s=15.1
09:16:42 step 120/3020 loss=1.8304 acc=0.375 records/s=15.3
09:17:02 step 140/3020 loss=1.0708 acc=0.625 records/s=15.5
09:17:21 step 160/3020 loss=2.2021 acc=0.250 records/s=15.6
09:17:39 step 180/3020 loss=1.4528 acc=0.500 records/s=15.8
09:17:59 step 200/3020 loss=1.0626 acc=0.750 records/s=15.8
09:18:18 step 220/3020 loss=1.5835 acc=0.625 records/s=15.9
09:18:36 step 240/3020 loss=1.7737 acc=0.500 records/s=16.1
09:18:55 step 260/3020 loss=1.3169 acc=0.625 records/s=16.1
09:19:14 step 280/3020 loss=1.7866 acc=0.375 records/s=16.2
09:19:32 step 300/3020 loss=1.0765 acc=0.375 records/s=16.3
09:19:51 step 320/3020 loss=1.6621 acc=0.500 records/s=16.3
09:20:09 step 340/3020 loss=1.8739 acc=0.500 records/s=16.4
09:20:27 step 360/3020 loss=1.2161 acc=0.625 records/s=16.4
09:20:45 step 380/3020 loss=2.6301 acc=0.125 records/s=16.5
09:21:04 step 400/3020 loss=2.0158 acc=0.250 records/s=16.5
09:21:23 step 420/3020 loss=2.8876 acc=0.125 records/s=16.5
09:21:42 step 440/3020 loss=2.0415 acc=0.500 records/s=16.6
09:22:00 step 460/3020 loss=1.1831 acc=0.625 records/s=16.6
09:22:18 step 480/3020 loss=2.1683 acc=0.500 records/s=16.6
09:22:37 step 500/3020 loss=1.2276 acc=0.625 records/s=16.7
09:22:55 step 520/3020 loss=1.8875 acc=0.500 records/s=16.7
09:23:13 step 540/3020 loss=1.2006 acc=0.500 records/s=16.7
09:23:31 step 560/3020 loss=1.6011 acc=0.500 records/s=16.8
09:23:50 step 580/3020 loss=2.1335 acc=0.000 records/s=16.8
09:24:09 step 600/3020 loss=1.3576 acc=0.625 records/s=16.8
09:24:27 step 620/3020 loss=2.1243 acc=0.500 records/s=16.8
09:24:46 step 640/3020 loss=1.6735 acc=0.625 records/s=16.8
09:25:04 step 660/3020 loss=1.4750 acc=0.500 records/s=16.8
09:25:23 step 680/3020 loss=1.9478 acc=0.375 records/s=16.8
09:25:41 step 700/3020 loss=2.2110 acc=0.250 records/s=16.9
09:26:00 step 720/3020 loss=3.6892 acc=0.375 records/s=16.9
09:26:18 step 740/3020 loss=1.8585 acc=0.250 records/s=16.9
09:26:36 step 760/3020 loss=1.2882 acc=0.625 records/s=16.9
09:26:55 step 780/3020 loss=2.1931 acc=0.375 records/s=16.9
09:27:13 step 800/3020 loss=1.6904 acc=0.625 records/s=16.9
09:27:32 step 820/3020 loss=2.2438 acc=0.125 records/s=16.9
