W0923 07:37:08.362000 6961 torch/distributed/run.py:874] 
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] *****************************************
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:  28%|██▊       | 110/399 [00:00<00:00, 1047.23it/s]Loading weights:  30%|██▉       | 118/399 [00:00<00:00, 1139.70it/s]Loading weights:  54%|█████▍    | 215/399 [00:00<00:00, 1015.05it/s]Loading weights:  58%|█████▊    | 232/399 [00:00<00:00, 1102.18it/s]Loading weights:  85%|████████▍ | 339/399 [00:00<00:00, 1106.78it/s]Loading weights:  89%|████████▉ | 355/399 [00:00<00:00, 1158.71it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 1129.79it/s]
Loading weights: 100%|██████████| 399/399 [00:00<00:00, 1181.25it/s]
07:38:19 mode=listwise world=2 trainable=44.18M
07:38:24 train records/epoch=48320 steps=3020
07:38:51 step 20/3020 loss=3.5102 acc=0.125 records/s=11.5
07:39:15 step 40/3020 loss=1.1503 acc=0.625 records/s=12.5
07:39:38 step 60/3020 loss=1.3854 acc=0.375 records/s=13.0
07:40:02 step 80/3020 loss=2.0406 acc=0.375 records/s=13.0
07:40:25 step 100/3020 loss=1.3239 acc=0.375 records/s=13.2
07:40:48 step 120/3020 loss=0.4452 acc=0.750 records/s=13.3
07:41:10 step 140/3020 loss=0.8206 acc=0.625 records/s=13.4
07:41:33 step 160/3020 loss=1.4855 acc=0.625 records/s=13.5
07:41:57 step 180/3020 loss=1.1013 acc=0.625 records/s=13.5
07:42:20 step 200/3020 loss=0.8651 acc=0.750 records/s=13.5
07:42:44 step 220/3020 loss=0.9853 acc=0.875 records/s=13.5
07:43:08 step 240/3020 loss=1.9842 acc=0.625 records/s=13.5
07:43:31 step 260/3020 loss=1.0219 acc=0.625 records/s=13.5
07:43:55 step 280/3020 loss=1.1554 acc=0.750 records/s=13.5
07:44:17 step 300/3020 loss=0.7332 acc=0.875 records/s=13.6
07:44:39 step 320/3020 loss=0.5985 acc=0.875 records/s=13.6
07:45:02 step 340/3020 loss=1.0321 acc=0.750 records/s=13.7
07:45:26 step 360/3020 loss=1.2526 acc=0.750 records/s=13.6
07:45:49 step 380/3020 loss=1.0944 acc=0.625 records/s=13.6
07:46:13 step 400/3020 loss=1.9142 acc=0.750 records/s=13.6
07:46:38 step 420/3020 loss=2.8334 acc=0.375 records/s=13.6
07:47:01 step 440/3020 loss=2.2675 acc=0.500 records/s=13.6
07:47:25 step 460/3020 loss=0.6837 acc=0.875 records/s=13.6
07:47:48 step 480/3020 loss=0.9596 acc=0.750 records/s=13.6
07:48:11 step 500/3020 loss=1.1031 acc=0.500 records/s=13.6
07:48:34 step 520/3020 loss=0.6385 acc=0.875 records/s=13.6
07:48:58 step 540/3020 loss=0.7573 acc=0.875 records/s=13.6
07:49:21 step 560/3020 loss=1.7995 acc=0.750 records/s=13.6
07:49:45 step 580/3020 loss=0.3197 acc=1.000 records/s=13.6
07:50:09 step 600/3020 loss=0.7750 acc=0.750 records/s=13.6
07:50:33 step 620/3020 loss=2.2072 acc=0.250 records/s=13.6
07:50:57 step 640/3020 loss=0.6666 acc=1.000 records/s=13.6
07:51:19 step 660/3020 loss=0.4134 acc=0.750 records/s=13.6
07:51:50 step 680/3020 loss=1.3189 acc=0.500 records/s=13.5
07:52:17 step 700/3020 loss=1.4276 acc=0.625 records/s=13.4
07:52:47 step 720/3020 loss=0.9042 acc=0.875 records/s=13.3
07:53:12 step 740/3020 loss=0.3682 acc=0.875 records/s=13.3
07:53:36 step 760/3020 loss=1.2728 acc=0.500 records/s=13.3
07:53:58 step 780/3020 loss=0.6165 acc=0.875 records/s=13.4
07:54:21 step 800/3020 loss=0.7670 acc=0.625 records/s=13.4
